,Unnamed: 0,Tour_Name,Tour_Type,Number_of_Reviewer,Duration,Price,Highlight,Location,Rating
374,374,435. Half Day Private Splendour of Angkor Wat Cultural Tour,Bus Tours,,4 hours,34,"Hotel pickup and drop-off, English-speaking driver, Professional English-speaking guide, Lunch (available for morning tour only) (Khmer Set Menu), Bottled water, Transport by air conditioned vehicle, Fuel surcharge, Lunch","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
1991,1991,"2052. 1 Day Angkor Wat Heritage, Bayon, Ta Promh & Banteay Srei",Full-day Tours,,9–10 hours,25,"Cold water during the touring, Lisence English Tour Guide, Round trip hotel transfers, Air-conditioned vehicle, Private transportation","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
2651,2651,Koh Ker and Beng Mealea Excursion Join-in Tour - Free Hotel pickup,Day-Trips,, 10 hours (approx.),$35.00 ,"Hotel pickup (8:00am to 8:25am), Drinking water and cool towel during trip, English Speaking Guide, Transport by air-conditioned minivan, Hotel Dropoff","Siem Reap, Cambodia",
3094,3094,Private Sunrise Bike Tour in Angkor with Breakfast & Lunch,Day-Trips,3.0, 9 hours (approx.),$79.00 ,"Breakfast & Lunch, Bottled water & Cold tower, Mountain Bike & Helmet supported by minivan, Professional tour guide, Hotel pick up & Drop off, Soft Drink","Siem Reap, Cambodia",star-5
939,939,1000. Angkor Wat and Small Circuit Temples by Private Transport,Full-day Tours,1.0,6+ hours,37,"Hotel pick-up and drop-off, English-speaking driver, Transport by air-conditioned minivan, Bottled water and cool towel","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
1321,1321,1382. Full-Day Photo Tour Angkor Wat from Siem Reap,Full-day Tours,,6+ hours,243.59,"Hotel pick up & drop off, English photography instructor","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
2389,2389,2450. Siem Reap Highlight 4 Nights 5 Days Package,Bus Tours,,3+ days,374.36,"4 nights accommodation as selected with daily breakfast, Transportation in private air-conditioned vehicles, 2 times lunch on Day2 and Day3, Angkor 1 day pass, English speaking guide during tour, Cold drink water on tour, Entry/Admission - Angkor Thom South Gate, Entry/Admission - Angkor Wat, Entry/Admission - Chong Kneas Floating Village, Entry/Admission - Wat Thmey (Killing Fields), Entry/Admission - Beng Mealea","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
2599,2599,Full-Day 'Big Tour' with Sunset at Phnom Bakheng,Walking-Tours,109.0, 8 hours (approx.),$18.47 ,"Air-conditioned vehicle, Bottled water, English speaking tour guide, Pick up and drop off","Krong Siem Reap, Cambodia",star-5
751,751,812. Angkor Wat Sunrise Private Tour - Free Hotel Pickup,Walking Tours,4.0,6–8 hours,65,"Air-conditioned vehicle, Experienced and licensed English Speaking Tour Guide, Bottled water & Cold Towel, Hotel Pick up and Drop Off","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
99,99,130. Private one-day tuktuk 'small tour' of the oldest Angkor temples,Full-day Tours,32.0,8–9 hours,18,"Bottled water, Hotel pickup and drop-off (if option selected), Private tour, Round-trip private transfer","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
1543,1543,1604. Full-Day Angkor Wat Temples with a local Tuk Tuk Tours,Full-day Tours,,6+ hours,61.54,"Experienced local English speaking tour guide, Pick up & drop off at your hotel in Siem Reap, Traveling with a local vehicle ( tuk-tuk ), All taxes & service charges, 2 bottled water & 2 wet tissue per pax","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
2370,2370,2431. 3hrs - Buddhist Waterblessing,3 hours,,3 hours,25.65,"Driver/guide, Transport by private vehicle","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
866,866,927. The Iridescent landscape of Tonle Sap,Day Cruises,,3 hours,65.11,"A professional English-speaking guide., Transportation by car / mini-van / coach with professional driver from and to the embarkation point, Transportation by local boat with a local captain, All entrance and donation fees for visits as mentioned in the description, All applicable taxes and service charges, Entry/Admission - Tonle Sap Lake","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
1760,1760,1821. Ta Prohm & Floating Village 1-Day Tour,Full-day Tours,,7–8 hours,41.67,"English Speaking Tour Guide, Transportation: Car or Van, Cold pure drinking water and cold towel during temple trip., Pick up and Drop off in Siem Reap","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
910,910,971. Beng Mealea & Hidden Temples 1 day,Full-day Tours,1.0,6+ hours,90.26,"All land transportation by US Army Jeep, ENGLISH speaking guide, Mineral water and cold tissues on tour, Entry/Admission - Chrey Temple","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
3151,3151,One-day Best of the Best with Banteay Srey,Cultural-Tours,, 6 to 7 hours (approx.),$70.52 ,"Driver/guide, Local guide, Professional guide, Transport by private vehicle","Siem Reap, Cambodia",
1575,1575,1636. Private Angkor Two Days Special Tour,Adventure Tours,,2 days,160,"English speaking tourist guide, Hotel pick up and drop off, Private transportation, Cool hand towels, Bottled water, Entry/Admission - Ta Prohm Temple","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
529,529,590. Angkor Wat 1Day Tour With Sunrise,Private Sightseeing Tours,14.0,1 day,130.39,"Tuk Tuk Driver, English Tour Guide, Cold water, Cold Towels","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
1260,1260,1321. Full 4-Day Angkor Wat Sunrise Tonle Sap Preah Vihear Small Group,Luxury Car Tours,,3+ days,320.52,"Air-conditioned vehicle, Senior English Tour Guide, Cool Water and Towels, Local Snacks","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
1897,1897,"1958. 5-Day Major Temples,Kulen Mount Waterfall,Koh Ker & Beng Mealea",Adventure Tours,,3+ days,296,"Private A/C Vehicle with driver, English Speaking Guide with licensed, Cool drinking waters & wet towels, Parking fees & Road tolls, Start pick up at your hotel and finish drop you at hotel","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
2314,2314,2375. 7hr. Explore Angkor from Siem Reap,Adventure Tours,,5–6 hours,33,"Experienced driver, Bottled water & Soft drink, Professional English speaking guide","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
636,636,697. Angkor Wat UNESCO listed & Tonle Sap Lake Full-Day Tour,Full-day Tours,5.0,6+ hours,66,"Local Live English Speaking guide, Hotel pickup and drop-off, Small group tour, Shared air conditioned bus/mini van, Shared boat trip at Tonle Sap Lake, Cold Bottled water on bus","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
1269,1269,1330. Private Transfer: Hotel to Siem Reap Airport,20 minutes,1.0,20 minutes,8,"Meet and greet service at the hotel, with welcome signage, Private one way airport transfer, Professional driver","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
185,185,216. Forbidden Rhythms ! The Unique Women Drumming Dancing & Singing Show in Cambodia,Theater Shows,4.0,1 hour,19,"Admission ticket to the Show, Entry/Admission - Bambu Stage Siem Reap","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
2577,2577,Sunset Cruise on Tonle Sap,Half-day-Tours,, 3 to 4 hours (approx.),$59.00 ,"Hotel pickup and drop-off, English-speaking guide and driver, Port fees, Beer and soft drinks, snacks, 1 bottle of chilled water and cold towel","Siem Reap, Cambodia",
1894,1894,1955. Private Taxi Transfer From Siem Reap - Battambang City,3–4 hours,,3–4 hours,40.54,"Experienced English speaking driver, Air-condition vehicle ( Car/Minivan), Free mineral water during the journey, Petrol and parking fee","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
2140,2140,2201. Phnom Kulen Deep jungle exploration Tour,Full-day Tours,,6+ hours,97.44,"Professional English speaking tour guide, Lexus/mini van/bus and driver, Cool pure drinking water and towels, Mortor bike and driver with helmet, Pick up and drop off, Gratuity is recommended","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
1797,1797,1858. Private Siem Reap City Tour,City Tours,,6 hours,89.75,"Professional English speaking tour guide, Tuk Tuk and licensed driver, Cool pure drinking water and towels., pick up and drop off","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
931,931,992. 3-Day Private Tour to Angkor Wat and All Magical temple in Siem Reap,Bus Tours,1.0,3 days,169,"- Cold mineral water and towel, - English Speaking Driver, - Parking Fee, - Tour Information, - Pick up and Drop off to Hotel, - Private vehicle, - Sunset, Entry/Admission - Banteay Srei","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
1441,1441,1502. 2-Day Private Cultural Tour of Battambang and Banteay Chhmar,Bus Tours,,2 days,307.7,"Private Tour, Bottle Waters, Driver/Guide, Entrance fee, Entry/Admission - Wat Banan Temple, Entry/Admission - Banteay Chhmar","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
2303,2303,2364. Private Tour: Siem Reap City & Temples,Bus Tours,,6+ hours,189,"English speaking tour guide, Air-conditioned private car, 02 Bottles of water per guest, All service charges & government tax, Lunch","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
2878,2878,2-Day Angkor Wat Tour,Overnight-Tours,2.0, 2 days  (approx.),$115.90 ,"Drinking water, Air-conditioned vehicle, English Speaking Guide with licensed","Siem Reap, Cambodia",star-5
3446,3446,Grand Circuit Tour & Banteay Srei,Day-Trips,1.0, 9 hours (approx.),,"English Speaking Guide, Pick Up/ Drop off, A/C Transport, Cold Drinking Water, Cold Towels","Siem Reap, Cambodia",star-5
1535,1535,1596. Private Transfer: Phnom Penh to Sihanouville,5–6 hours,,5–6 hours,100,"Meet and greet service at the hotel with welcome signage, One-way transfer from Phnom Penh to Sihanoukville, Experienced driver","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets",
865,865,926. Private Angkor Wat Private Sunrise VIP private Tour,National Parks,2.0,6+ hours,123.08,"Professional English Speaking Guide, Tuk Tuk and licensed driver, Cold bottles of water and Cold towels, pick up and drop off, gratuity is recommended","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",4.5
3010,3010,Sunset at the Floating Village,Cultural-Tours,, 5 to 8 hours (approx.),$31.50 ,"VIP Van, Local lunch, Cold towels and premium water, Pick up & drop off, Snacks, Licensed guide, Passenger Insurance, max $10,000,00","Siem Reap, Cambodia",
1273,1273,1334. 1 Day- Angkor Wat With Small Circuit & Banteay Srei ( The Most Popular),Full-day Tours,,7–8 hours,35,"All local Applicable Taxes, Cold Water & Sweep towel, Professional English Speaking Tour Guide","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
2596,2596,Half-Day Tour of the Killing Field and S21,Half-day-Tours,1.0, 4 hours (approx.),$15.00 ,"A professional English speaking tour guide, A professional driver with driving license., A clean and safe transportation., Water and snack","Phnom Penh, Cambodia",star-5
3282,3282,Private 2 Days Tour in Phnom Penh,Overnight-Tours,1.0, 2 days  (approx.),,"Private Tour Guide, Private Transportation, Pure Drinking Water","Phnom Penh, Cambodia",star-5
607,607,668. 5-Day 'All The Sights' Tour,Adventure Tours,7.0,3+ days,296.42,"Hotel pickups and drop-offs, Professional English-speaking guide, Fee for motorised boat, Bottled water, Cold towels","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
3212,3212,Private Angkor Wat Sunset 4 Best hidden temples Tour,Full-day-Tours,1.0, 10 hours (approx.),$64.11 ,"Professional English speaking guide, Lexus/mini ban /bus with air-con and licensed driver, Cold bottle of water and towels, Gratuity is recommended, pick up and drop off","Siem Reap, Cambodia",star-5
1712,1712,1773. Battambang Sunset Private Tour,Full-day Tours,,6+ hours,51.29,"guided Driver and TUk TUk, Cold bottles of water, Private tour, pick up and drop off, Gratuity is recommended","Asia, Cambodia, Battambang Province, Battambang, Things to Do in Battambang, Battambang Tours, Tours and Tickets",
3692,3692,Cycling Angkor Wat Small Tour,Bike-and-Mountain-Bike-Tours,3.0, 8 hours (approx.),,"Professional Tour Guide, Pick Up/Drop Off, Soft,Cold Water and Towel, Adventure Bike, Helmet Bike","Krong Siem Reap, Cambodia",star-5
151,151,"182. Half-Day Kompong Phluk, Floating Village",2–3 hours,3.0,2–3 hours,20,"Tour with English Speaking driver, Cold bottled water on tour","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
2044,2044,"2105. Roluos Group, and Beng Melea",Bus Tours,,6+ hours,48.9,"Pick up & Drop off from your hotel within Siem Reap, English speaking tour guide, Bottle Water, Coke, Cambodia Romork "" Tuk Tuk ""","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets",
2688,2688,3-Day Private Phnom Penh and Siem Reap Tour,Multi-day-Tours,2.0, 3 days  (approx.),$735.00 ,"Lunch, Stay 1 night at the iRoHa Garden Hotel (Comfort Room with Balcony), Stay 1 night at the Borei Angkor Resort & Spa (Landmark Room), Private transportation by modern air-conditioned vehicle, Sightseeing as specified in the itinerary including entrance fees, Professional Licensed English Speaking guide, Domestic flight ticket from Phnom Penh - Siem Reap on Economy Class, Boat cruise as specified in the programmed, 02 bottles of mineral water per person while sightseeing and transfers, VAT and all taxes and service charge, Included admission fee to visit the Royal Palace $10.00 person, Included admission fee to visit the National Museum $10.00 person, Included admission fee to visit the Tuol Sleng Genocide Museum $5.00 person, Included admission fee to visit the Wat Phnom Temple $1.00 person, Included admission fee to visit the temples in Angkor Archaeological Park single-day ticket $62.00, Breakfast (2)","Phnom Penh, Cambodia",star-5
1405,1405,1466. Private Countryside with Buffalo Cart tour - Half Day,Adventure Tours,,4 hours,44,"Experienced English-speaking tour guide, Hotel pickup and drop-off, villages walk and interact with local people, Bottled water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
2413,2413,2474. Siem Reap Airport Transfers,20–30 minutes,2.0,20–30 minutes,17.4,"A friendly driver, Air Conditioner vehicle","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",1
731,731,792. Prrivate Guided Tour To Bantey Srei Temple And Phnom Kulen Paradise Waterfall,Full-day Tours,3.0,8–10 hours,138.47,"Air-conditioned vehicle, Private transportation, Tour Guide Service, Cold Drinks & Cold Towels","Asia, Cambodia, Siem Reap Province, Siem Reap, Svay Dangkum, Things to Do in Svay Dangkum, Svay Dangkum Tours, Tours and Tickets",5
2092,2092,2153. Angkor Zipline and Foodie Night by scooter Tour from Siem Reap,Full-day Tours,,1 day,142.57,"English speaking tour guide, Sliver Zipline or Gold zipline, Experienced driver, Khmer set menu lunch, Local food & drink for dinner, Scooter with helmet, Insurance, Water, Lunch, Dinner, Snacks, Bottled water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
2399,2399,2460. Private 4 Day Adventure To Temples included with Tonle Sap Lake,Bus Tours,,3+ days,187.7,"Private Transportation, Private Tour Guide, Pure Drinking Water, hotel pick up & drop off, Entry/Admission - Prasat Prei Monti, Entry/Admission - Angkor Wat, Entry/Admission - Banteay Srei, Entry/Admission - Banteay Samre, Entry/Admission - Neak Pean, Entry/Admission - Preah Khan, Entry/Admission - Angkor Thom South Gate, Entry/Admission - Bayon Temple, Entry/Admission - Baphuon Temple, Entry/Admission - Phimeanakas, Entry/Admission - Terrace of the Elephants, Entry/Admission - Terrace of the Leper King, Entry/Admission - Ta Prohm Temple, Entry/Admission - Artisans Angkor","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
3431,3431,Angkor Sunrise Discovery Inclusive Breakfast and lunch,Full-day-Tours,5.0, 8 hours (approx.),$65.00 ,"Hotel pick up and drop-off, Professional English Speaking Tour guide, An air-conditioned vehicle, Bottled water and local snacks, Breakfast, Lunch","Siem Reap, Cambodia",star-5
23,23,54. Siem Reap Evening Foodie Vespa Tour,Private and Luxury,73.0,4–5 hours,55,"Water & soft drinks, Food tasting & Cold beverage., Private transportation, Scooter & Experience driver included., helmet & first aid kit., All Fees and Taxes","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
3164,3164,Jump to explore Battambang from Siem Reap,Day-Trips,, 10 to 14 hours (approx.),,"English Speaking Tour Guide, Transportation, Cold water","Krong Siem Reap, Cambodia",
158,158,189. Boat from Siem Reap to Battambang by Water Way Private Transfer,Airboat Tours,3.0,7–8 hours,45,"Private Transfer by Traditional Wooden Boat and has Toilet in Boat, Pick up from your hotel in Siem Reap to pier ( please provide us your hotel name and hotel address ), Drop off at Pier in Battambang near city center at Khmer Prahok Market, Gasoline, toll, parking, private Professional driver, All toll fees, Local taxes, Guaranteed to skip the lines","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
1748,1748,1809. Biking the Angkor Temples,Adventure Tours,,6+ hours,196.16,"A full-day tour with a professional English-speaking guide, Use of a well-maintained bicycle during the tour, complete with helmet, All entrance fees for visits as mentioned in the description., Day pass to the Angkor temples, All applicable taxes and service charges, Lunch at a local restaurant is included (food only), Entry/Admission - Angkor Thom, Entry/Admission - Bayon Temple, Entry/Admission - Srah Srang, Entry/Admission - Ta Prohm","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
861,861,922. Traditional Buddhist Water Blessing at a local pagoda,Bus Tours,4.0,1–2 hours,37,"Private transport, Expert English speaking guide, Monk donation, Cold bottled drinking water, Sarong and towels, Hotel pick up and drop off","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",4
1840,1840,1901. Siem Reap City Tour and Siem Reap Street Food Tour,City Tours,,4–5 hours,45,"English Speaking Tour Guide, Transportation: TukTuk, Bottles of drinking Cold Water, Street Foods tasting","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
3084,3084,Angkor Wat Small Tour & Sunrise,Full-day-Tours,9.0, 8 hours (approx.),,"• Professional Speaking Guide, • Pick Up/Drop Off, • Cold Water and Towel, • Sunrise, A/C Car or Tuk Tuk","Siem Reap, Cambodia",star-5
902,902,963. Khmer Cuisine Cooking Class In Siem Reap,Cooking Classes,1.0,4 hours,38,"Private transportation, All Fees and Taxes, We provide the food that you cook and prepare the lunch table on spot, Coffee and/or Tea, Bottled water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
352,352,413. Private Taxi from Siem Reap to Phnom Penh,6 hours,,6 hours,70,"Vaccinated English speaking driver, Air-conditioning private car /minivan, Petrol, Parking fees and toll., Free 1 bottle of water for each passenger during this journey","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets",
1230,1230,1291. Private 2 Days temples with Sunrise and Sunset Tour,Bus Tours,,2 days,99,"Bottled water, Free pickup and drop-off at city hotels, Professional English-speaking tour guide, Sightseeing as specified in the description, Transportation by air-conditioned vehicle","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
2830,2830,Angkor Wat Private bike tour avoid the crowds,Bike-and-Mountain-Bike-Tours,1.0, 8 hours (approx.),$61.54 ,"standard bicycles, English speaking tour guide with license., Cold bottles of Water and Cold towels, Fruit Snack., Tuk Tuk follow up during the tour","Siem Reap, Cambodia",star-5
444,444,505. Full-Day Angkor Temple Complexes Discovery Tour by Join-In Minivan,Full-day Tours,,10–11 hours,22.56,"Pick-up & Drop-off at your Hotel., Luxury minivan with air-conditioner, English Speaking Tour Guide., Cold Drinking Water & Cold Towels","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
3696,3696,Fun Quadbike Sunset Tour,Self-guided-Tours-and-Rentals,, 1 hour (approx.),$38.98 ,"Quad bike ride, English speaking guide to lead the ride, Return transfer from/to your hotel in town","Siem Reap, Cambodia",
754,754,815. Banteay Srei & Angkor Big Circuit Tour,Full-day Tours,3.0,6+ hours,54.49,"Hotel pick-up and drop off, Professional English-speaking guide (limited options only), Transport by your chosen vehicle, Bottled water & Cold towels","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
1737,1737,"1798. 30 Days Kun Khmer Training Camp with Accommodation in Siem Reap, Cambodia",Boxing Classes,,3+ days,819.49,"Training from Mondays to Saturdays, 2 two-hour training sessions per day (one-time on Saturdays), 29 nights’ accommodation at Lub d – Cambodia in Siem Reap, Water during training, Pick-up service from Siem Reap airport","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
923,923,984. Half-Day Preah Khan and Neak Pean Temples from Siem Reap,Bus Tours,,4 hours,40,"Hotel pickup and drop-off, Professional guide and driver, Bottled water, Transport by Tuk Tuk or air-conditioned minivan depending on the number of travelers, Fuel surcharge, Landing and facility fees, Lunch","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
1666,1666,1727. Five Days Discover Siem Reap – Phnom Penh (Private Tour),Adventure Tours,,3+ days,264.62,"Official English speaking tour guide, Experienced and safe driver, Private vehicle with air-conditioning ( Car/Minivan), Free cool water and towels during the tour","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
3738,3738,3 Day.The Magical City of Angkor Wat - Free Airport Pick Up/ Drop off,Private-Drivers,, 5 hours (approx.),,"Professional English Tour Guide 1 Day, Experienced & safe driver ( Air Conditional Transportation), Free cool & cool towels during touring, All local applicable taxes","Krong Siem Reap, Cambodia",
2641,2641,Private Day Trip To Koh Ker City And Beng Mealea Temple,Day-Trips,, 8 hours (approx.),,"Cold Drinks & Cold Towels, Tour Guide Service, Air-conditioned vehicle, Private transportation","Svay Dangkum, Cambodia",
311,311,372. Siem Reap Quad Bike Countryside Sunset Tour for 1 hour driving,Adventure Tours,1.0,1 hour,37.5,"Helmet and facemask, rain coat in the raining season., Safety driving, briefing, and training, Quad Bike Polaris Trailboss 330 with guide who show you the way, Entry/Admission - Siem Reap","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
1375,1375,1436. Champagne Breakfast at Angkor,Bus Tours,,4 hours,325,"Local English speaking guide, Tours and transfers as mentioned by private air conditioned vehicle unless stated otherwise, Picnic breakfast: American/Continental breakfast set menu, Free-flow fresh juices, Champagne, Cushion set up with table, Bottled water, Coffee and/or Tea, Alcoholic Beverages, Entry/Admission - Angkor Wat","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
548,548,609. 3-Day 'Temples & Tonle Sap' Tour,Adventure Tours,10.0,3 days,156.93,"Hotel pickups and drop-offs, Air conditioned vehicle for pickups, drop-offs and tours, Professional English-speaking guide, Fee for motorised boat, Bottled water, Cold towels","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
2505,2505,Apsara Dance Performance - Including Dinner & Hotel Pickup,Theater-Shows-and-Musicals,8.0, 2 hours (approx.),$38.00 ,"Pick-up and drop-off hotel in Siem Reap, Drinking water and cool towel during trip, Round trip transfer by tuk tuk, Dinner - Buffet dinner, Entry/Admission (Amazon Angkor Restaurant)","Siem Reap, Cambodia",star-4
1746,1746,"1807.  Angkor Wat Sunrise ,Bayon, Ta Promh With English Tour Guide",Bus Tours,,4–5 hours,80,"All local taxes, Cold water during touring, Professional License English Tour Guide, Return to hotel around 12 noon","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
2178,2178,2239. Off Road Community Cycling Tour,Adventure Tours,,5 hours,133.34,"Lunch, Use of bicycle, All Fees and Taxes, English speaking guide for cycling, Bottled water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
2954,2954,Half Day Sunset Bike Tour in Battambang,Bike-and-Mountain-Bike-Tours,1.0, 4 hours (approx.),$33.00 ,"Snacks, Mountain bikes with helmets, All Fees and Taxes, English speaking tour guide, bottled water & fresh coconuts, soft drinks","Battambang, Cambodia",star-5
1835,1835,1896. Kompong phluk 2 villages and sunset special,Bus Tours,,6 hours,120,"All taxes, fees and handling charges, Expert lake guide, Hotel pickup and drop-off in air conditioned comfort, Unlimited drinks (open bar) including champagne,wines,beers,spirits,cocktails,soft drinks,, Bottled water, Buffet dinner or fixed menu, a selection of both asian and western type foods, Restroom on board, Entry/Admission - Tonle Sap Lake, Entry/Admission - Kompong Phluk","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
306,306,367. Kompong Phluk Floating Village Private Half-Day Tour,Bus Tours,3.0,4 hours,34.62,"Air-conditioned vehicle, English tour guide, Cold water & cold towel","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
287,287,348. 5-Day All Major Temples & Kulen Mount Waterfall & Koh Ker & Beng Mealea,Adventure Tours,8.0,3+ days,430,"Private A/C Vehicle with driver, English Speaking Guide with licensed, Cool drinking waters & wet towels, Parking fees & Road tolls, Start pick up at your hotel and finish drop you at hotel","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
694,694,755. 1-Day Uncover The Endless Treasure Of Angkor Tour with Sunset.,Full-day Tours,4.0,8–9 hours,60,"A full day tour with a professional English-speaking guide., Transportation by air-conditioned vehicle with professional driver, Cool water and Cool wet towel, All applicable taxes and service charges","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
